"Filename","Status","Headline","Description","AltText","ExtendedDescription","Keywords"
"PX-20260815-0842-Pano.jpg","PROOF","King Street (at Alexandria Street), Bowen Hills, August 2026","A fenced vacant site occupies the corner of King Street and Alexandria Street, its full street frontage wrapped in a mural on temporary hoarding. 25 King, a mid-rise office tower with a dark glazed curtain wall, borders the site to the west. Exhibition Place, a residential tower with a rounded, canted corner in cream and pale grey precast panels, stands beyond it at the Alexandria Street end. No construction activity is visible within the fence line.","Fenced vacant site at King Street and Alexandria Street, Bowen Hills, Brisbane.","This fenced site sits between the completed 25 King office building and the Exhibition Place residential tower, both visible here, within the Showgrounds Regeneration Project precinct.","Australia, Queensland, Brisbane, Bowen Hills, Fenced Development Site, 2026, urban renewal, urban development, high density, mid rise, high rise, tower, glass, concrete, temporary fencing, site hoarding, mural, streetscape, tree, wide view, street view, context view, daylight, clear sky, fence, footpath, 25 King, 25 King Street, Exhibition Place, 1 Alexandria Street"
"PX-20260815-0844-Pano.jpg","PROOF","King Street (at Alexandria Street), Bowen Hills, August 2026","The same fenced vacant site at King Street and Alexandria Street is framed closer to Exhibition Place, whose rounded precast tower rises directly behind the mural-covered hoarding. A row of string-lit trees lines the site's street edge. 25 King's glazed facade is visible at the frame's far edge.","Fenced vacant site on King Street, Bowen Hills, Brisbane, with Exhibition Place tower behind.","This view shows the vacant site's Alexandria Street end, closest to Exhibition Place, ahead of the parcel's own redevelopment.","Australia, Queensland, Brisbane, Bowen Hills, Fenced Development Site, 2026, urban renewal, high density, high rise, mid rise, tower, glass, concrete, temporary fencing, site hoarding, mural, tree, street light, streetscape, street view, elevated view, daylight, clear sky, fence, footpath, Exhibition Place, 1 Alexandria Street, 25 King"
"PX-20260815-0855.jpg","PROOF","1 Alexandria Street, Bowen Hills, August 2026","Exhibition Place rises on the corner with a rounded, canted profile, its facade banded in cream and pale grey precast panels the tower's full height. Belise Apartments, a plainer white-balconied residential tower, stands immediately behind it. A eucalypt frames the view from the footpath opposite.","Exhibition Place apartment tower, Bowen Hills, Brisbane, with Belise Apartments behind.","Exhibition Place is a build-to-rent residential tower at 1 Alexandria Street, Bowen Hills.","Australia, Queensland, Brisbane, Bowen Hills, Completed Development, 2026, residential, residential tower, apartment, high rise, tower, curved facade, corner tower, concrete, rendered finish, high density, urban intensification, wayfinding, signage, tree, street view, wide view, daylight, clear sky, street light, Exhibition Place, 1 Alexandria Street, Belise Apartments"
"PX-20260815-0857.jpg","PROOF","1 Alexandria Street, Bowen Hills, August 2026","From further down the street, Exhibition Place and Belise Apartments stand side by side, their curved and flat-faced profiles distinguishing one tower from the other. Directional signage and traffic signals occupy the foreground street corner.","Exhibition Place and Belise Apartments towers viewed from the street, Bowen Hills, Brisbane.","Exhibition Place stands at 1 Alexandria Street and Belise Apartments at 510 St Pauls Terrace, the two residential towers meeting at this street corner.","Australia, Queensland, Brisbane, Bowen Hills, Completed Development, 2026, residential, residential tower, apartment, high rise, tower, curved facade, corner tower, concrete, high density, urban intensification, wayfinding, signage, street light, traffic light, tree, street view, wide view, daylight, clear sky, Exhibition Place, Belise Apartments"
"PX-20260815-0867.jpg","PROOF","25 King Street, Bowen Hills, August 2026","25 King rises with a full-height dark glazed curtain wall and a stepped parapet at roof level. Orange and red traffic barriers line the fenced vacant site in the foreground. The glass facade reflects the surrounding sky.","25 King office tower, King Street, Bowen Hills, Brisbane.","25 King is a mass-timber office building on King Street, adjoining the fenced vacant site visible in the foreground of this photograph.","Australia, Queensland, Brisbane, Bowen Hills, Completed Development, 2026, commercial, office, mid rise, tower, glass, reflection, temporary fencing, construction impact, street view, upward perspective, wide view, daylight, clear sky, 25 King, 25 King Street"
"PX-20260815-0877.jpg","PROOF","25 King Street, Bowen Hills, August 2026","A close view of 25 King's ground floor shows angled concrete-and-timber piers raising the building above a covered arcade, its dark glazed curtain wall closing overhead. Further down the street, the Fortitude Valley State Secondary College's gold-and-black checked facade and the glass-clad Green Square North Tower recede into the distance.","Ground-floor timber piers of 25 King, King Street, Bowen Hills, Brisbane, with Fortitude Valley State Secondary College and Green Square North Tower beyond.","This close framing documents 25 King's mass-timber structural detail at ground level. The Fortitude Valley State Secondary College and Green Square North Tower, visible beyond, mark the transition from King Street into the St Pauls Terrace corridor in Fortitude Valley.","Australia, Queensland, Brisbane, Bowen Hills, Completed Development, 2026, commercial, office, education, school, mid rise, high rise, tower, glass, timber, concrete, arcade, street level, close view, detail view, street view, context view, daylight, clear sky, 25 King, 25 King Street, Fortitude Valley State Secondary College, 585 St Pauls Terrace, Green Square North Tower, 515 St Pauls Terrace"
"PX-20260815-0882.jpg","PROOF","King Street (at Alexandria Street), Bowen Hills, August 2026","Timber planter boxes, string-lit trees and a paved plaza line the King Street frontage of the fenced vacant site, its hoarding continuing the same mural motif seen from Alexandria Street. Traffic signals mark the street corner in the foreground.","Landscaped street edge of the fenced vacant site on King Street, Bowen Hills, Brisbane.","This view records the King Street footpath treatment along the vacant site, showing the planting, lighting and paving that front the parcel ahead of its own redevelopment.","Australia, Queensland, Brisbane, Bowen Hills, Fenced Development Site, 2026, urban renewal, high density, pedestrian zone, streetscape, street activation, mural, site hoarding, temporary fencing, tree, planting, garden bed, street light, traffic light, bench, street view, wide view, daylight, clear sky"
"PX-20260815-0888-Pano.jpg","PROOF","St Pauls Terrace (at Constance Street), Fortitude Valley, August 2026","Benson, a brick-faced residential building at 465 St Pauls Terrace, closes the street's northern side. NEXTDC's existing Brisbane Data Centre (B2) occupies the grey building beyond it at 454 St Pauls Terrace, its red-branded facade at street level. Its Stage 2 expansion, a large glazed structure at 470 St Pauls Terrace, rises under construction behind, screened in exposed steelwork with a crane overhead. 191 Constance Street stands further down the block, and the heritage Jubilee Hotel closes the view at the intersection.","St Pauls Terrace at Constance Street, Fortitude Valley, Brisbane, showing Benson, NEXTDC's data centre and its Stage 2 expansion, and the Jubilee Hotel.","This intersection sits within the St Pauls Terrace commercial and residential corridor in Fortitude Valley, where NEXTDC's existing data centre at 454 St Pauls Terrace is being expanded with a second facility at 470 St Pauls Terrace, alongside a heritage hotel and residential building within the same block.","Australia, Queensland, Brisbane, Fortitude Valley, Existing Condition, 2026, residential, apartment, industrial, hospitality, pub, heritage, heritage architecture, commercial, brick, face brick, concrete, glass, metal, crane, scaffolding, temporary fencing, construction impact, signage, street view, wide view, intersection, daylight, clear sky, Benson, 465 St Pauls Terrace, NEXTDC, 454 St Pauls Terrace, 470 St Pauls Terrace, Jubilee Hotel, 191 Constance Street"
"PX-20260815-0893.jpg","PROOF","52 Alfred Street, Fortitude Valley, August 2026","A multi-storey car park spans four levels of open, mesh-screened parking bays, its beige panelling streaked with rust at the balustrades. A mural wraps the boundary wall along the street, its motifs unrelated to the structure above. Residential towers rise behind the car park's northern end.","Valley Metro multi-storey car park, Alfred Street, Fortitude Valley, Brisbane, with street-level mural.","This aged parking structure at Alfred Street serves the Fortitude Valley entertainment precinct, its rusted balustrades and open mesh screening contrasting with the newer glazed residential towers visible rising behind it.","Australia, Queensland, Brisbane, Fortitude Valley, Existing Condition, 2026, parking structure, industrial, metal, concrete, mural, public art, fence, streetscape, wide view, street view, daylight, clear sky, 52 Alfred Street"
"PX-20260815-0894-Pano.jpg","PROOF","275 Wickham Street, Fortitude Valley, August 2026","Kooii Apartments rises at the corner in a white grid of vertical louvres and blue glazing, its upper floors visible above the street's low-rise fabric. 22 Constance Street, a smaller blue-panelled building, sits opposite at street level.","Kooii Apartments tower at the Constance Street corner, Fortitude Valley, Brisbane.","Kooii Apartments was built and originally marketed as Utopia Space, later shortened to Utopia, before a recent rebrand to its current name. This view documents its relationship to the lower-rise commercial buildings fronting Constance Street.","Australia, Queensland, Brisbane, Fortitude Valley, Completed Development, 2026, residential, residential tower, apartment, commercial, high rise, tower, glass, metal, screen, grid, street view, wide view, elevated view, daylight, clear sky, Kooii Apartments, 275 Wickham Street, 22 Constance Street"
